city,population_2000,population_2017,pop_growth_%,median_income_2000,median_income_2017,income_growth_%,median_house_2000,median_house_2017,median_house_growth_%,crime_index_2005,crime_index_2018,crime_increase_%,poverty_rate_%
Modesto-California,188907,214221,13.4,40394,56493,39.85,123800,279600,125.85,504.5,419.3,5.43,12.6
Temecula-California,57711,114327,98.1,59516,89173,49.83,189500,457300,141.32,274.4,146.2,9.89,6.3
Atlanta-Georgia,416344,486290,16.8,34770,57597,65.65,144100,299400,107.77,861.5,469,8.64,19.3
Rialto-California,91891,103562,12.7,41254,57065,38.33,113200,307900,172,428.4,314.6,14.39,17.6
Eagan-Minnesota,63575,66627,4.8,67388,86611,28.53,161000,288500,79.19,138.3,125.6,-8.95,7.7
Elizabeth-New-Jersey,120569,130215,8,35175,46754,32.92,154600,272700,76.39,429.8,354.2,-0.65,16
Santa-Maria-California,77434,107014,38.2,36541,60320,65.07,140000,350200,150.14,340.7,253.2,-8.29,13.5
Henderson-Nevada,175384,302539,72.5,55949,69667,24.52,151400,311200,105.55,219.7,163.3,-6.11,8.3
Minneapolis-Minnesota,382546,422331,10.4,37974,60789,60.08,113700,250400,120.23,769.9,458.3,-7.79,18.3
Loveland-Colorado,50594,76701,51.6,47119,60933,29.32,154500,316700,104.98,210.4,196.7,15.73,7
Vallejo-California,116735,122105,4.6,50030,65493,30.91,162600,373100,129.46,546.4,485.1,-0.44,11.6
Great-Falls-Montana,56666,58876,3.9,32436,46939,44.71,89700,174495,94.53,355,349.9,16.81,16.1
Broomfield-Colorado,38264,68341,78.6,63903,90939,42.31,182200,416600,128.65,214.5,152.9,19.57,4.7
Salem-Oregon,136933,169798,24,38881,56186,44.51,126300,234900,85.99,425.9,322.5,5.95,16.3
Asheville-North-Carolina,68892,91902,33.4,32772,50184,53.13,105200,267000,153.8,542.9,444.1,11.59,11.3
Kendall-Florida,75234,73805,-1.9,51330,72167,40.59,150100,393800,162.36,,,,8
Ontario-California,157988,175841,11.3,42452,60086,41.54,136300,369700,171.24,373.2,268.5,-2.28,13.1
Gresham-Oregon,90213,111053,23.1,43442,51130,17.7,155800,296300,90.18,467.8,325.8,14.77,15.7
Metairie-Louisiana,146116,146847,0.5,41265,58947,42.85,137200,238400,73.76,,,,12
Redding-California,80875,91794,13.5,34194,50320,47.16,116300,260000,123.56,427.6,398.3,25.58,18.7
Clifton-New-Jersey,78662,86607,10.1,50619,70387,39.05,183600,337300,83.71,184.7,105.2,1.54,13.4
Grand-Junction-Colorado,41985,62475,48.8,33152,48754,47.06,114000,226798,98.95,522.7,350.5,6.91,18.9
Rancho-Cordova-California,55062,73563,33.6,40095,64088,59.84,111700,304400,172.52,354.8,205.6,-1.96,13
Ann-Arbor-Michigan,114062,121477,6.5,46299,70499,52.27,178500,323400,81.18,241.5,148.1,14.02,19.3
Kent-Washington,79540,128458,61.5,46046,67497,46.59,168100,343700,104.46,595.4,372.6,-7.86,14.9
Troy-Michigan,80978,83813,3.5,77538,95825,23.58,217800,297600,36.64,142.7,82.3,-9.05,3.8
Indio-California,49120,89793,82.8,34624,45278,30.77,92300,277400,200.54,413.7,287.7,0.53,14.8
Billings-Montana,89870,109642,22,35147,57527,63.68,96700,226100,133.82,334.7,399.1,25.64,9.5
Auburn-Washington,40307,80776,100.4,39208,69243,76.6,132400,323100,144.03,626.9,360.8,8.93,12.6
Fairfield-California,96167,116266,20.9,51151,81231,58.81,170600,415700,143.67,393.8,301.5,0.66,9.5
Everett-Washington,91503,110079,20.3,40100,61248,52.74,161700,325900,101.55,600,335.5,-11.79,11.3
Fargo-North-Dakota,90569,122359,35.1,35510,59542,67.68,94100,213300,126.67,182,298.7,-26.52,11.1
Federal-Way-Washington,83281,96690,16.1,49278,61804,25.42,165300,340500,105.99,552.3,381.8,17.04,10.2
Vacaville-California,88602,100032,12.9,57667,80425,39.46,176000,426400,142.27,209.3,166,-2.88,8.8
Orem-Utah,84343,97839,16,47529,61729,29.88,150800,266600,76.79,199,111.3,30.24,13.9
Tracy-California,56912,90889,59.7,62794,89936,43.22,211700,456100,115.45,264.4,200.8,20.62,9.6
Portland-Maine,64247,66882,4.1,35650,56326,58,125200,291200,132.59,365,223.7,-9.83,16
Boise-City-Idaho,185713,226570,22,42432,55943,31.84,118100,242000,104.91,307.3,197.4,7.41,13.5
Wilmington-North-Carolina,75824,119045,57,31099,46079,48.17,121600,249400,105.1,614.4,327.2,1.91,22.3
Hoover-Alabama,62764,84920,35.3,61982,84054,35.61,176400,283500,60.71,233.3,95.3,3.05,7.5
Austin-Texas,656571,950715,44.8,42689,67755,58.72,120800,332700,175.41,435.5,304.1,0.25,13.1
Charleston-South-Carolina,96684,134875,39.5,35295,63364,79.53,137800,344600,150.07,480.5,205.6,3.69,11.7
