Location,Occupied Housing Units,Home Value 2018,Home Value 2010,Home Value CAGR,Median Rent 2018,Median Rent 2010,Rent CAGR,Rental Vacancy Rate,Vacancy Expense (monthly),Vacancy Expense Final,Taxes,Insurance Final,Capex Final,Property Management,Insurance,Capex,CoCR,CoCR If invested in 2011,CoCR Delta,Rent to Price Ratio
"Fairfield , California",36348,377400,415200,-1%,1510,1042,4.2%,3%,$44,$60, $	291.50 , $	54.45 , $	233.00 ,$151.00, $	66.08 ,$151.00,2.29%,2.08%,-0.21%,0.40%
"Everett , Washington",42883,293200,283200,0%,1173,769,4.8%,4%,$42,$47, $	236.75 , $	56.02 , $	197.73 ,$117.30, $	54.42 ,$117.30,2.12%,2.20%,0.07%,0.40%
"Fargo , North Dakota",53359,199700,149300,3%,796,547,4.3%,7%,$53,$53, $	226.33 , $	186.62 , $	153.68 ,$79.60, $	112.83 ,$79.60,0.58%,0.78%,0.20%,0.40%
"Federal Way , Washington",34923,307100,294900,0%,1224,810,4.7%,3%,$35,$49, $	292.42 , $	58.68 , $	203.28 ,$122.40, $	54.42 ,$122.40,1.95%,2.03%,0.08%,0.40%
"Vacaville , California",32922,391100,387600,0%,1557,1159,3.3%,2%,$25,$62, $	291.50 , $	56.42 , $	237.69 ,$155.70, $	66.08 ,$155.70,2.31%,2.33%,0.02%,0.40%
"Orem , Utah",28177,247100,213600,2%,983,683,4.1%,5%,$47,$47, $	111.50 , $	53.49 , $	176.27 ,$98.30, $	53.50 ,$98.30,2.41%,2.79%,0.38%,0.40%
"Tracy , California",25472,422900,391900,1%,1680,1153,4.3%,2%,$27,$67, $	337.08 , $	61.01 , $	249.74 ,$168.00, $	66.08 ,$168.00,2.26%,2.44%,0.18%,0.40%
"Portland , Maine",30564,273400,250300,1%,1079,787,3.6%,4%,$40,$43, $	365.08 , $	94.02 , $	187.28 ,$107.90, $	60.08 ,$107.90,1.24%,1.35%,0.11%,0.39%
"Boise City , Idaho",89975,230800,209100,1%,910,650,3.8%,3%,$27,$36, $	153.67 , $	77.64 , $	167.65 ,$91.00, $	51.83 ,$91.00,1.99%,2.20%,0.21%,0.39%
"Wilmington , North Carolina",51316,237700,242600,-0%,935,680,3.6%,6%,$54,$54, $	176.58 , $	95.93 , $	170.63 ,$93.50, $	64.42 ,$93.50,1.74%,1.70%,-0.04%,0.39%
"Hoover , Alabama",32685,280400,269700,0%,1100,751,4.3%,8%,$90,$90, $	152.17 , $	457.61 , $	189.64 ,$110.00, $	192.83 ,$110.00,0.43%,0.45%,0.02%,0.39%
"Austin , Texas",370043,312300,203400,5%,1225,739,5.8%,7%,$81,$81, $	486.50 , $	369.42 , $	203.38 ,$122.50, $	162.08 ,$122.50,-0.14%,-0.22%,-0.08%,0.39%
"Charleston , South Carolina",55013,308100,262600,2%,1208,737,5.6%,5%,$62,$62, $	130.08 , $	262.10 , $	201.55 ,$120.80, $	116.83 ,$120.80,1.68%,1.97%,0.29%,0.39%
"Frisco , Texas",55827,368000,248200,4%,1441,903,5.3%,10%,$140,$140, $	584.75 , $	435.30 , $	226.03 ,$144.10, $	162.08 ,$144.10,-0.29%,-0.43%,-0.14%,0.39%
"Renton , Washington",39030,369300,330400,1%,1430,880,5.5%,3%,$46,$57, $	306.92 , $	70.56 , $	224.90 ,$143.00, $	54.42 ,$143.00,2.04%,2.28%,0.24%,0.39%
"Arlington Heights, Illinois",31070,350000,378700,-1%,1350,985,3.6%,5%,$61,$61, $	663.33 , $	229.23 , $	216.64 ,$135.00, $	87.75 ,$135.00,0.15%,0.14%,-0.01%,0.39%
"Santa Fe , New Mexico",35593,270700,308200,-1%,1043,795,3.1%,7%,$73,$73, $	123.67 , $	168.77 , $	183.20 ,$104.30, $	99.75 ,$104.30,1.73%,1.52%,-0.21%,0.39%
"Fort Lauderdale , Florida",74160,318200,323100,-0%,1224,878,3.8%,8%,$93,$93, $	252.08 , $	444.02 , $	203.28 ,$122.40, $	297.92 ,$122.40,0.41%,0.41%,-0.01%,0.38%
"Sparks , Nevada",38056,275100,277100,-0%,1057,812,3.0%,5%,$52,$52, $	161.83 , $	65.79 , $	184.79 ,$105.70, $	58.58 ,$105.70,2.12%,2.11%,-0.02%,0.38%
"Boca Raton , Florida",40434,433600,425300,0%,1663,1224,3.5%,19%,$309,$309, $	376.42 , $	605.05 , $	248.09 ,$166.30, $	297.92 ,$166.30,-0.12%,-0.12%,-0.00%,0.38%
"Lynn , Massachusetts",32709,295100,285700,0%,1130,810,3.8%,2%,$21,$45, $	344.50 , $	77.22 , $	192.99 ,$113.00, $	99.17 ,$113.00,1.45%,1.50%,0.05%,0.38%
"Miami , Florida",171036,292900,291200,0%,1120,768,4.3%,7%,$74,$74, $	265.50 , $	408.72 , $	191.88 ,$112.00, $	297.92 ,$112.00,0.28%,0.28%,0.00%,0.38%
"Plymouth , Minnesota",31002,340700,331800,0%,1300,942,3.6%,3%,$36,$52, $	342.83 , $	248.40 , $	211.39 ,$130.00, $	111.08 ,$130.00,1.11%,1.14%,0.03%,0.38%
"Medford , Oregon",31655,244700,256200,-1%,933,683,3.5%,2%,$22,$37, $	216.42 , $	57.62 , $	170.39 ,$93.30, $	53.58 ,$93.30,1.76%,1.68%,-0.08%,0.38%
"Clovis , California",36418,308300,323900,-1%,1173,833,3.9%,2%,$28,$47, $	252.67 , $	44.48 , $	197.73 ,$117.30, $	66.08 ,$117.30,2.00%,1.90%,-0.10%,0.38%
"Fayetteville , Arkansas",34480,202700,181200,1%,770,536,4.1%,4%,$29,$31, $	127.25 , $	370.18 , $	150.40 ,$77.00, $	171.92 ,$77.00,0.09%,0.10%,0.01%,0.38%
"Riverside , California",90866,344700,356000,-0%,1308,965,3.4%,6%,$73,$73, $	227.00 , $	49.73 , $	212.24 ,$130.80, $	66.08 ,$130.80,2.14%,2.07%,-0.07%,0.38%
"Sandy , Utah",30722,334200,285100,2%,1268,857,4.4%,8%,$107,$107, $	174.50 , $	72.34 , $	208.00 ,$126.80, $	53.50 ,$126.80,2.08%,2.44%,0.36%,0.38%
"Fort Collins , Colorado",62796,338100,244900,4%,1278,769,5.8%,3%,$32,$51, $	160.33 , $	143.24 , $	209.06 ,$127.80, $	118.08 ,$127.80,2.08%,2.87%,0.79%,0.38%
"Longmont , Colorado",35622,327200,241400,3%,1233,813,4.7%,5%,$58,$58, $	154.92 , $	138.62 , $	204.25 ,$123.30, $	118.08 ,$123.30,2.03%,2.75%,0.72%,0.38%
"Sacramento , California",183106,313400,321000,-0%,1179,856,3.6%,4%,$50,$50, $	232.17 , $	45.21 , $	198.39 ,$117.90, $	66.08 ,$117.90,2.05%,2.00%,-0.05%,0.38%
"Reston, Virginia",25232,488000,440700,1%,1835,1365,3.3%,5%,$83,$83, $	407.83 , $	149.41 , $	264.48 ,$183.50, $	79.92 ,$183.50,1.84%,2.03%,0.20%,0.38%
"New Bedford , Massachusetts",39242,218100,248000,-1%,819,595,3.6%,7%,$53,$53, $	251.42 , $	57.07 , $	156.55 ,$81.90, $	99.17 ,$81.90,1.20%,1.06%,-0.15%,0.38%
"Lakewood , Colorado",65737,333400,236200,4%,1249,770,5.5%,3%,$32,$50, $	151.00 , $	141.25 , $	205.97 ,$124.90, $	118.08 ,$124.90,2.07%,2.93%,0.85%,0.37%
"Norwalk , Connecticut",33923,427300,478100,-1%,1597,1107,4.2%,4%,$61,$64, $	595.25 , $	99.09 , $	241.65 ,$159.70, $	75.17 ,$159.70,1.23%,1.10%,-0.13%,0.37%
"St. George , Utah",28998,261800,260000,0%,971,739,3.1%,5%,$47,$47, $	127.67 , $	56.67 , $	174.87 ,$97.10, $	53.50 ,$97.10,2.15%,2.16%,0.01%,0.37%
"Mount Vernon , New York",25248,360300,431400,-2%,1335,982,3.5%,4%,$52,$53, $	833.33 , $	103.34 , $	215.08 ,$133.50, $	77.92 ,$133.50,-0.01%,-0.01%,0.00%,0.37%
"Franklin , Tennessee",28409,385500,314800,2%,1428,914,5.1%,5%,$64,$64, $	198.92 , $	363.33 , $	224.70 ,$142.80, $	126.75 ,$142.80,1.35%,1.65%,0.30%,0.37%
"Jersey City , New Jersey",101007,362100,371800,-0%,1334,941,4.0%,4%,$59,$59, $	627.92 , $	58.73 , $	214.97 ,$133.40, $	59.25 ,$133.40,0.80%,0.78%,-0.02%,0.37%
"Fontana , California",53510,351700,354600,-0%,1288,966,3.2%,2%,$28,$52, $	312.67 , $	50.74 , $	210.12 ,$128.80, $	66.08 ,$128.80,1.82%,1.81%,-0.01%,0.37%
"Rockville , Maryland",25197,521700,509400,0%,1909,1468,3.0%,4%,$74,$76, $	461.92 , $	119.79 , $	271.37 ,$190.90, $	72.17 ,$190.90,1.81%,1.86%,0.04%,0.37%
"Santa Clarita , California",67583,497500,474800,1%,1819,1366,3.2%,3%,$45,$73, $	448.25 , $	71.77 , $	262.98 ,$181.90, $	66.08 ,$181.90,1.88%,1.97%,0.09%,0.37%
"Rancho Cucamonga , California",55950,473800,461300,0%,1728,1302,3.2%,5%,$81,$81, $	341.75 , $	68.35 , $	254.35 ,$172.80, $	66.08 ,$172.80,2.05%,2.11%,0.06%,0.36%
"Oceanside , California",61656,460100,444100,0%,1674,1206,3.7%,4%,$60,$67, $	282.08 , $	66.38 , $	249.16 ,$167.40, $	66.08 ,$167.40,2.20%,2.28%,0.08%,0.36%
"Eugene , Oregon",68855,272000,256500,1%,988,695,4.0%,4%,$35,$40, $	277.42 , $	64.04 , $	176.86 ,$98.80, $	53.58 ,$98.80,1.46%,1.55%,0.09%,0.36%
"Carmel , Indiana",33738,330600,292000,1%,1199,843,4.0%,10%,$115,$115, $	251.00 , $	309.44 , $	200.57 ,$119.90, $	99.83 ,$119.90,0.74%,0.83%,0.10%,0.36%
"Norwalk , California",27180,410400,400300,0%,1488,1116,3.2%,4%,$54,$60, $	277.42 , $	59.21 , $	230.79 ,$148.80, $	66.08 ,$148.80,2.08%,2.14%,0.05%,0.36%
"Bismarck , North Dakota",31893,234500,152000,5%,850,525,5.5%,8%,$64,$64, $	209.08 , $	219.14 , $	160.38 ,$85.00, $	112.83 ,$85.00,0.58%,0.89%,0.31%,0.36%
"Arvada , Colorado",47032,352300,243400,4%,1274,788,5.5%,2%,$24,$51, $	163.33 , $	149.25 , $	208.64 ,$127.40, $	118.08 ,$127.40,1.96%,2.83%,0.88%,0.36%
"Beaverton , Oregon",39452,352000,313200,1%,1269,762,5.8%,2%,$23,$51, $	374.08 , $	82.88 , $	208.10 ,$126.90, $	53.58 ,$126.90,1.45%,1.63%,0.18%,0.36%
"Roseville , California",49204,420100,392300,1%,1513,1054,4.1%,6%,$92,$92, $	336.67 , $	60.61 , $	233.31 ,$151.30, $	66.08 ,$151.30,1.82%,1.95%,0.13%,0.36%
"Evanston , Illinois",28524,380600,398800,-1%,1366,1017,3.3%,7%,$94,$94, $	658.92 , $	249.27 , $	218.31 ,$136.60, $	87.75 ,$136.60,0.03%,0.03%,-0.00%,0.36%
"Oxnard , California",51460,427900,469200,-1%,1526,1134,3.4%,3%,$47,$61, $	307.50 , $	61.73 , $	234.61 ,$152.60, $	66.08 ,$152.60,1.99%,1.81%,-0.17%,0.36%
"Naperville , Illinois",51951,410800,412700,-0%,1462,1021,4.1%,6%,$92,$92, $	756.50 , $	269.05 , $	228.16 ,$146.20, $	87.75 ,$146.20,-0.09%,-0.09%,0.00%,0.36%
"Cary , North Carolina",61548,337700,294600,2%,1199,770,5.0%,5%,$58,$58, $	253.08 , $	136.29 , $	200.57 ,$119.90, $	64.42 ,$119.90,1.53%,1.76%,0.22%,0.36%
"Framingham , Massachusetts",28189,384700,369700,0%,1359,975,3.8%,2%,$29,$54, $	478.50 , $	100.67 , $	217.58 ,$135.90, $	99.17 ,$135.90,1.16%,1.21%,0.05%,0.35%
"Quincy , Massachusetts",40583,410400,362400,1%,1447,1024,3.9%,2%,$23,$58, $	434.25 , $	107.40 , $	226.64 ,$144.70, $	99.17 ,$144.70,1.39%,1.58%,0.18%,0.35%
"Pomona , California",39122,367400,365800,0%,1289,942,3.5%,2%,$21,$52, $	260.50 , $	53.00 , $	210.23 ,$128.90, $	66.08 ,$128.90,1.91%,1.92%,0.01%,0.35%
"Simi Valley , California",42029,553800,561800,-0%,1924,1472,3.0%,3%,$60,$77, $	389.67 , $	79.89 , $	272.75 ,$192.40, $	66.08 ,$192.40,1.98%,1.95%,-0.03%,0.35%
"Mount Pleasant , South Carolina",33208,441600,364900,2%,1533,1026,4.6%,7%,$112,$112, $	140.92 , $	375.67 , $	235.31 ,$153.30, $	116.83 ,$153.30,1.40%,1.70%,0.29%,0.35%
"Corona , California",49658,444200,445000,-0%,1527,1170,3.0%,3%,$41,$61, $	326.92 , $	64.08 , $	234.71 ,$152.70, $	66.08 ,$152.70,1.86%,1.85%,-0.00%,0.34%
"Salinas , California",40623,378000,418000,-1%,1299,938,3.7%,2%,$31,$52, $	273.75 , $	54.53 , $	211.29 ,$129.90, $	66.08 ,$129.90,1.83%,1.66%,-0.18%,0.34%
"Vista , California",30275,452000,433300,0%,1553,1151,3.4%,2%,$37,$62, $	296.08 , $	65.21 , $	237.30 ,$155.30, $	66.08 ,$155.30,1.96%,2.04%,0.08%,0.34%
"Greenville , South Carolina",28762,273100,197200,4%,937,544,6.2%,7%,$64,$64, $	148.33 , $	232.32 , $	170.87 ,$93.70, $	116.83 ,$93.70,1.00%,1.39%,0.39%,0.34%
"Yonkers , New York",74848,392300,441000,-1%,1344,966,3.7%,9%,$117,$117, $	697.08 , $	112.52 , $	216.02 ,$134.40, $	77.92 ,$134.40,0.21%,0.18%,-0.02%,0.34%
"Roswell , Georgia",34430,355900,314100,1%,1218,818,4.5%,8%,$94,$94, $	293.50 , $	260.40 , $	202.63 ,$121.80, $	91.92 ,$121.80,0.83%,0.94%,0.11%,0.34%
"Chico , California",35903,305300,326500,-1%,1044,809,2.9%,8%,$86,$86, $	222.92 , $	44.04 , $	183.31 ,$104.40, $	66.08 ,$104.40,1.59%,1.48%,-0.10%,0.34%
"Provo , Utah",32870,247100,211800,2%,844,619,3.5%,3%,$22,$34, $	109.50 , $	53.49 , $	159.64 ,$84.40, $	53.50 ,$84.40,1.96%,2.28%,0.33%,0.34%
"Denver , Colorado",294358,357300,244000,4%,1217,708,6.2%,5%,$56,$56, $	150.17 , $	151.37 , $	202.52 ,$121.70, $	118.08 ,$121.70,1.80%,2.63%,0.83%,0.34%
"Carson , California",25469,434000,437500,-0%,1464,1089,3.3%,1%,$18,$59, $	310.58 , $	62.61 , $	228.37 ,$146.40, $	66.08 ,$146.40,1.82%,1.80%,-0.01%,0.34%
"Stamford , Connecticut",49510,526700,579200,-1%,1761,1294,3.5%,6%,$97,$97, $	625.33 , $	122.14 , $	257.50 ,$176.10, $	75.17 ,$176.10,1.10%,1.00%,-0.10%,0.33%
"Richmond , California",37209,422300,415000,0%,1400,1041,3.3%,3%,$38,$56, $	383.50 , $	60.92 , $	221.83 ,$140.00, $	66.08 ,$140.00,1.53%,1.55%,0.03%,0.33%
"Lakewood , California",25931,524600,506300,0%,1735,1277,3.5%,8%,$130,$130, $	316.75 , $	75.68 , $	255.02 ,$173.50, $	66.08 ,$173.50,1.79%,1.86%,0.06%,0.33%
"Chula Vista , California",78940,465000,463300,0%,1536,1124,3.5%,3%,$51,$61, $	405.25 , $	67.08 , $	235.60 ,$153.60, $	66.08 ,$153.60,1.58%,1.59%,0.01%,0.33%
"Hayward , California",47768,519600,456100,1%,1712,1138,4.6%,4%,$62,$68, $	358.25 , $	74.96 , $	252.82 ,$171.20, $	66.08 ,$171.20,1.82%,2.07%,0.25%,0.33%
"Fall River , Massachusetts",38660,238100,262900,-1%,783,534,4.3%,2%,$16,$31, $	230.08 , $	62.31 , $	152.05 ,$78.30, $	99.17 ,$78.30,1.15%,1.05%,-0.11%,0.33%
"Mission Viejo , California",33358,668800,629700,1%,2194,1574,3.8%,6%,$123,$123, $	377.92 , $	96.48 , $	297.05 ,$219.40, $	66.08 ,$219.40,1.94%,2.06%,0.12%,0.33%
"Folsom , California",27285,488400,473500,0%,1601,1176,3.5%,3%,$45,$64, $	400.75 , $	70.46 , $	242.04 ,$160.10, $	66.08 ,$160.10,1.63%,1.68%,0.05%,0.33%
"West Covina , California",30513,490000,467300,1%,1602,1210,3.2%,5%,$77,$77, $	314.17 , $	70.69 , $	242.14 ,$160.20, $	66.08 ,$160.20,1.81%,1.89%,0.09%,0.33%
"Santa Ana , California",76521,455300,435200,1%,1488,1148,2.9%,2%,$24,$60, $	273.83 , $	65.68 , $	230.79 ,$148.80, $	66.08 ,$148.80,1.87%,1.96%,0.09%,0.33%
"Escondido , California",46338,423000,423400,-0%,1382,1022,3.4%,4%,$48,$55, $	293.25 , $	61.02 , $	219.97 ,$138.20, $	66.08 ,$138.20,1.74%,1.74%,-0.00%,0.33%
"Silver Spring, Maryland",31541,497200,467700,1%,1624,1206,3.4%,5%,$83,$83, $	361.33 , $	114.17 , $	244.29 ,$162.40, $	72.17 ,$162.40,1.59%,1.69%,0.10%,0.33%
"Bend , Oregon",37339,363200,330700,1%,1185,748,5.2%,3%,$31,$47, $	262.33 , $	85.52 , $	199.04 ,$118.50, $	53.58 ,$118.50,1.56%,1.71%,0.15%,0.33%
"Salt Lake City , Utah",78229,289200,240200,2%,938,638,4.4%,4%,$35,$38, $	162.50 , $	62.60 , $	170.99 ,$93.80, $	53.50 ,$93.80,1.70%,2.05%,0.35%,0.32%
"Reno , Nevada",98844,299700,297500,0%,967,751,2.8%,5%,$45,$45, $	152.83 , $	71.67 , $	174.40 ,$96.70, $	58.58 ,$96.70,1.71%,1.72%,0.01%,0.32%
"Hoboken , New Jersey",25132,693400,573400,2%,2231,1539,4.2%,4%,$96,$96, $	747.17 , $	112.46 , $	300.30 ,$223.10, $	59.25 ,$223.10,1.30%,1.57%,0.27%,0.32%
"San Marcos , California",29171,494400,482700,0%,1585,1171,3.4%,5%,$74,$74, $	441.42 , $	71.32 , $	240.46 ,$158.50, $	66.08 ,$158.50,1.45%,1.49%,0.04%,0.32%
"Boston , Massachusetts",266724,487300,395500,2%,1539,1073,4.1%,3%,$43,$62, $	268.75 , $	127.52 , $	235.90 ,$153.90, $	99.17 ,$153.90,1.70%,2.10%,0.40%,0.32%
"Lake Forest , California",28713,621000,595400,0%,1949,1582,2.3%,3%,$60,$78, $	373.33 , $	89.59 , $	275.05 ,$194.90, $	66.08 ,$194.90,1.81%,1.89%,0.08%,0.31%
"Santa Rosa , California",66629,490000,475900,0%,1531,1046,4.3%,3%,$38,$61, $	324.83 , $	70.69 , $	235.11 ,$153.10, $	66.08 ,$153.10,1.68%,1.73%,0.05%,0.31%
"Concord , California",46475,509500,489900,0%,1583,1131,3.8%,1%,$21,$63, $	332.50 , $	73.50 , $	240.27 ,$158.30, $	66.08 ,$158.30,1.68%,1.75%,0.07%,0.31%
"Missoula , Montana",31393,262500,239000,1%,813,612,3.2%,5%,$38,$38, $	236.83 , $	150.89 , $	155.81 ,$81.30, $	97.92 ,$81.30,0.69%,0.75%,0.07%,0.31%
"Portland , Oregon",264428,383600,296000,3%,1187,721,5.7%,3%,$40,$47, $	326.58 , $	90.32 , $	199.26 ,$118.70, $	53.58 ,$118.70,1.27%,1.64%,0.37%,0.31%
"Carmichael, California",26144,359800,368200,-0%,1107,831,3.2%,5%,$52,$52, $	239.17 , $	51.91 , $	190.43 ,$110.70, $	66.08 ,$110.70,1.54%,1.51%,-0.04%,0.31%
"Alexandria , Virginia",69979,557000,495100,1%,1702,1256,3.4%,4%,$68,$68, $	452.33 , $	170.53 , $	251.86 ,$170.20, $	79.92 ,$170.20,1.27%,1.43%,0.16%,0.31%
"Ellicott City, Maryland",25671,527700,557400,-1%,1605,1114,4.1%,6%,$98,$98, $	526.58 , $	121.17 , $	242.43 ,$160.50, $	72.17 ,$160.50,1.04%,0.98%,-0.06%,0.30%
"Miami Beach , Florida",44283,443400,377500,2%,1338,921,4.2%,6%,$78,$78, $	379.00 , $	618.73 , $	215.39 ,$133.80, $	297.92 ,$133.80,-0.23%,-0.28%,-0.04%,0.30%
"El Cajon , California",32844,430700,403800,1%,1277,939,3.5%,3%,$32,$51, $	272.08 , $	62.13 , $	208.96 ,$127.70, $	66.08 ,$127.70,1.55%,1.65%,0.10%,0.30%
"San Buenaventura (Ventura) , California",41096,537200,545300,-0%,1579,1249,2.6%,3%,$44,$63, $	316.08 , $	77.50 , $	239.87 ,$157.90, $	66.08 ,$157.90,1.62%,1.59%,-0.02%,0.29%
"Inglewood , California",36604,431400,422400,0%,1267,911,3.7%,1%,$18,$51, $	287.75 , $	62.24 , $	207.89 ,$126.70, $	66.08 ,$126.70,1.48%,1.51%,0.03%,0.29%
"Redmond , Washington",25358,631700,462900,4%,1855,1184,5.1%,4%,$70,$74, $	412.92 , $	120.69 , $	266.35 ,$185.50, $	54.42 ,$185.50,1.51%,2.06%,0.55%,0.29%
"Kirkland , Washington",36143,607800,502500,2%,1776,1181,4.6%,3%,$46,$71, $	391.42 , $	116.13 , $	258.92 ,$177.60, $	54.42 ,$177.60,1.50%,1.82%,0.31%,0.29%
"Daly City , California",31620,711800,616800,2%,2075,1334,5.0%,2%,$37,$83, $	422.42 , $	102.69 , $	286.48 ,$207.50, $	66.08 ,$207.50,1.64%,1.89%,0.25%,0.29%
"Anaheim , California",100615,538700,512800,1%,1569,1153,3.5%,4%,$60,$63, $	343.75 , $	77.72 , $	238.88 ,$156.90, $	66.08 ,$156.90,1.53%,1.61%,0.08%,0.29%
"East Los Angeles, California",31544,375700,373400,0%,1091,817,3.3%,3%,$33,$44, $	279.83 , $	54.20 , $	188.63 ,$109.10, $	66.08 ,$109.10,1.33%,1.34%,0.01%,0.29%
"Arlington, Virginia",104716,669400,569800,2%,1936,1448,3.3%,5%,$91,$91, $	494.58 , $	204.94 , $	273.85 ,$193.60, $	79.92 ,$193.60,1.22%,1.43%,0.21%,0.29%
"Thousand Oaks , California",45777,695400,682600,0%,2008,1624,2.4%,4%,$80,$80, $	449.08 , $	100.32 , $	280.43 ,$200.80, $	66.08 ,$200.80,1.55%,1.58%,0.03%,0.29%
"Cambridge , Massachusetts",46184,719300,543000,3%,2071,1369,4.7%,4%,$79,$83, $	298.75 , $	188.23 , $	286.12 ,$207.10, $	99.17 ,$207.10,1.68%,2.23%,0.55%,0.29%
"Bellingham , Washington",35694,347100,313900,1%,999,718,3.7%,2%,$22,$40, $	239.25 , $	66.32 , $	178.13 ,$99.90, $	54.42 ,$99.90,1.30%,1.44%,0.14%,0.29%
"Somerville , Massachusetts",32851,616100,449100,4%,1763,1175,4.6%,3%,$48,$71, $	374.83 , $	161.23 , $	257.69 ,$176.30, $	99.17 ,$176.30,1.41%,1.93%,0.52%,0.29%
"Tustin , California",26132,618500,584400,1%,1765,1363,2.9%,4%,$76,$76, $	458.92 , $	89.23 , $	257.88 ,$176.50, $	66.08 ,$176.50,1.37%,1.45%,0.08%,0.29%
"Garden Grove , California",48031,519600,478900,1%,1480,1200,2.4%,1%,$19,$59, $	331.58 , $	74.96 , $	229.99 ,$148.00, $	66.08 ,$148.00,1.47%,1.59%,0.12%,0.28%
"Irvine , California",95371,797100,687300,2%,2259,1715,3.1%,4%,$79,$90, $	572.08 , $	114.99 , $	302.74 ,$225.90, $	66.08 ,$225.90,1.43%,1.66%,0.23%,0.28%
"Upland , California",26875,489600,495900,-0%,1387,1048,3.2%,1%,$19,$55, $	286.58 , $	70.63 , $	220.49 ,$138.70, $	66.08 ,$138.70,1.51%,1.49%,-0.02%,0.28%
"San Diego , California",503463,569100,510200,1%,1611,1186,3.5%,4%,$63,$64, $	359.08 , $	82.10 , $	243.02 ,$161.10, $	66.08 ,$161.10,1.48%,1.65%,0.17%,0.28%
"El Monte , California",29566,427400,410700,0%,1204,952,2.6%,4%,$49,$49, $	343.83 , $	61.66 , $	201.11 ,$120.40, $	66.08 ,$120.40,1.20%,1.25%,0.05%,0.28%
"Scottsdale , Arizona",111221,455900,484200,-1%,1284,968,3.2%,8%,$98,$98, $	203.67 , $	167.90 , $	209.70 ,$128.40, $	67.75 ,$128.40,1.25%,1.18%,-0.07%,0.28%
"Arden-Arcade, California",41631,353400,359900,-0%,994,776,2.8%,6%,$55,$55, $	238.75 , $	50.98 , $	177.55 ,$99.40, $	66.08 ,$99.40,1.27%,1.24%,-0.02%,0.28%
"Napa , California",28457,581100,537300,1%,1614,1093,4.4%,4%,$58,$65, $	380.00 , $	83.83 , $	243.31 ,$161.40, $	66.08 ,$161.40,1.41%,1.52%,0.11%,0.28%
"Livermore , California",31534,692000,603700,2%,1909,1185,5.4%,3%,$53,$76, $	508.50 , $	99.83 , $	271.37 ,$190.90, $	66.08 ,$190.90,1.32%,1.51%,0.19%,0.28%
"Sandy Springs , Georgia",45833,447800,438600,0%,1230,835,4.4%,8%,$102,$102, $	356.25 , $	327.64 , $	203.92 ,$123.00, $	91.92 ,$123.00,0.31%,0.32%,0.01%,0.27%
"San Leandro , California",31727,543100,509400,1%,1491,1060,3.9%,2%,$31,$60, $	397.67 , $	78.35 , $	231.09 ,$149.10, $	66.08 ,$149.10,1.27%,1.35%,0.08%,0.27%
"Laguna Niguel , California",25360,795300,756200,1%,2181,1644,3.2%,4%,$79,$87, $	442.75 , $	114.73 , $	295.91 ,$218.10, $	66.08 ,$218.10,1.54%,1.62%,0.08%,0.27%
"Orange , California",42969,635500,603100,1%,1735,1318,3.1%,3%,$57,$69, $	398.17 , $	91.68 , $	255.02 ,$173.50, $	66.08 ,$173.50,1.41%,1.49%,0.08%,0.27%
"New Rochelle , New York",28073,562700,629600,-1%,1494,1097,3.5%,3%,$46,$60, $	833.33 , $	161.39 , $	231.40 ,$149.40, $	77.92 ,$149.40,0.13%,0.11%,-0.01%,0.27%
"Downey , California",33187,525500,535200,-0%,1376,1063,2.9%,2%,$29,$55, $	350.67 , $	75.81 , $	219.35 ,$137.60, $	66.08 ,$137.60,1.23%,1.21%,-0.02%,0.26%
"Washington , District of Columbia",281322,568400,454600,3%,1487,971,4.8%,6%,$89,$89, $	272.25 , $	58.83 , $	230.69 ,$148.70, $	58.83 ,$148.70,1.45%,1.81%,0.36%,0.26%
"Westminster , California",27529,581900,553200,1%,1489,1190,2.5%,2%,$28,$60, $	379.92 , $	83.95 , $	230.89 ,$148.90, $	66.08 ,$148.90,1.21%,1.27%,0.06%,0.26%
"Carlsbad , California",43293,770100,668900,2%,1970,1422,3.7%,3%,$55,$79, $	541.08 , $	111.10 , $	276.97 ,$197.00, $	66.08 ,$197.00,1.19%,1.37%,0.18%,0.26%
"Walnut Creek , California",31105,758500,706000,1%,1939,1294,4.6%,3%,$64,$78, $	527.83 , $	109.42 , $	274.13 ,$193.90, $	66.08 ,$193.90,1.20%,1.29%,0.09%,0.26%
"Fremont , California",74445,863800,644300,3%,2188,1373,5.3%,4%,$90,$90, $	572.58 , $	124.62 , $	296.52 ,$218.80, $	66.08 ,$218.80,1.23%,1.65%,0.42%,0.25%
"Costa Mesa , California",41019,707600,665100,1%,1786,1368,3.0%,3%,$54,$71, $	437.33 , $	102.08 , $	259.87 ,$178.60, $	66.08 ,$178.60,1.25%,1.33%,0.08%,0.25%
"Bellevue , Washington",57054,737000,563300,3%,1855,1118,5.8%,5%,$85,$85, $	464.42 , $	140.81 , $	266.35 ,$185.50, $	54.42 ,$185.50,1.16%,1.52%,0.36%,0.25%
"Huntington Beach , California",76821,728200,712900,0%,1832,1395,3.1%,2%,$42,$73, $	436.17 , $	105.05 , $	264.20 ,$183.20, $	66.08 ,$183.20,1.27%,1.30%,0.03%,0.25%
"Fullerton , California",45782,625800,595300,1%,1563,1213,2.9%,4%,$55,$63, $	386.33 , $	90.28 , $	238.29 ,$156.30, $	66.08 ,$156.30,1.21%,1.27%,0.06%,0.25%
