Location,Occupied Housing Units,Home Value 2018,Home Value 2010,Home Value CAGR,Median Rent 2018,Median Rent 2010,Rent CAGR,Rental Vacancy Rate,Vacancy Expense (monthly),Vacancy Expense Final,Taxes,Insurance Final,Capex Final,Property Management,Insurance,Capex,CoCR,CoCR If invested in 2011,CoCR Delta,Rent to Price Ratio
"Surprise , Arizona",48095,225200,240300,-1%,1289,977,3.1%,4%,$57,$57, $	118.50 , $	82.94 , $	210.23 ,$128.90, $	67.75 ,$128.90,3.69%,3.45%,-0.23%,0.57%
"Tyler , Texas",36434,155200,135900,1%,887,595,4.5%,11%,$95,$95, $	215.75 , $	183.58 , $	164.88 ,$88.70, $	162.08 ,$88.70,1.08%,1.23%,0.15%,0.57%
"Sterling Heights , Michigan",50023,175400,177000,-0%,1000,680,4.4%,2%,$23,$40, $	232.58 , $	128.60 , $	178.25 ,$100.00, $	89.42 ,$100.00,2.19%,2.17%,-0.02%,0.57%
"Alafaya, Florida",28932,247800,283700,-1%,1412,968,4.3%,4%,$55,$56, $	203.83 , $	345.78 , $	223.06 ,$141.20, $	297.92 ,$141.20,2.14%,1.87%,-0.27%,0.57%
"West Allis , Wisconsin",27657,142500,163000,-1%,809,625,2.9%,3%,$23,$32, $	311.67 , $	61.92 , $	155.31 ,$80.90, $	65.67 ,$80.90,1.40%,1.23%,-0.18%,0.57%
"Schaumburg, Illinois",29735,247900,265400,-1%,1403,1042,3.4%,4%,$62,$62, $	492.33 , $	162.36 , $	222.14 ,$140.30, $	87.75 ,$140.30,1.57%,1.47%,-0.10%,0.57%
"Pembroke Pines , Florida",56788,264700,300900,-1%,1496,1211,2.4%,7%,$106,$106, $	268.25 , $	369.37 , $	231.60 ,$149.60, $	297.92 ,$149.60,1.68%,1.48%,-0.20%,0.57%
"Casas Adobes, Arizona",28933,192500,225900,-2%,1087,795,3.5%,4%,$46,$46, $	161.17 , $	70.89 , $	188.18 ,$108.70, $	67.75 ,$108.70,3.19%,2.72%,-0.47%,0.56%
"League City , Texas",34869,232500,180000,3%,1311,836,5.1%,6%,$73,$73, $	445.83 , $	275.02 , $	212.56 ,$131.10, $	162.08 ,$131.10,0.89%,1.15%,0.26%,0.56%
"Tucson , Arizona",210816,146500,179300,-2%,825,596,3.7%,7%,$59,$59, $	121.00 , $	53.95 , $	157.30 ,$82.50, $	67.75 ,$82.50,2.87%,2.35%,-0.53%,0.56%
"North Las Vegas , Nevada",72532,208100,240900,-2%,1168,942,2.4%,6%,$68,$68, $	121.33 , $	49.77 , $	197.18 ,$116.80, $	58.58 ,$116.80,3.55%,3.06%,-0.48%,0.56%
"Shreveport , Louisiana",75842,144800,126900,1%,810,522,5.0%,10%,$84,$84, $	98.50 , $	289.36 , $	155.43 ,$81.00, $	248.25 ,$81.00,0.84%,0.96%,0.12%,0.56%
